Date,Open,High,Low,Close,Volume
2013-01-09,16.223,16.295,16.014,16.048,468787068
2013-01-08,16.425,16.508,16.178,16.304,527230601
2013-01-07,16.202,16.427,15.99,16.26,556664303
2013-01-04,16.665,16.717,16.32,16.358,683504315
2013-01-03,16.995,17.061,16.79,16.825,405830188
2013-01-02,17.188,17.224,16.81,17.041,644682845
2012-12-31,15.831,16.616,15.798,16.516,758338779
2012-12-28,15.837,15.966,15.77,15.816,407421242
2012-12-27,15.938,16.022,15.663,15.985,523345074
2012-12-26,16.108,16.122,15.863,15.921,347733562
2012-12-24,16.15,16.272,16.099,16.144,202238548
2012-12-21,15.907,16.128,15.835,16.118,686264452
2012-12-20,16.45,16.456,16.105,16.192,546213763
2012-12-19,16.495,16.563,16.31,16.336,516733029
2012-12-18,16.295,16.601,16.146,16.569,719295995
2012-12-17,15.795,16.138,15.556,16.103,872442256
2012-12-14,15.975,16.08,15.692,15.822,1161266313
2012-12-13,16.485,16.686,16.319,16.44,719133930
2012-12-12,17.002,17.009,16.644,16.729,560245289
2012-12-11,16.752,17.057,16.677,16.803,680423689
2012-12-10,16.295,16.713,16.187,16.444,725236839
2012-12-07,17.175,17.23,16.45,16.549,905982608
2012-12-06,16.416,17.172,16.096,16.985,1354093814
2012-12-05,17.657,17.667,16.722,16.722,1201154606
2012-12-04,18.056,18.057,17.756,17.872,641538048
2012-12-03,18.424,18.453,18.172,18.193,418892386
2012-11-30,18.195,18.261,18.084,18.166,449902122
2012-11-29,18.318,18.442,18.165,18.291,591905081
2012-11-28,17.916,18.181,17.76,18.092,599450849
2012-11-27,18.297,18.324,18.004,18.15,613300920
2012-11-26,17.873,18.311,17.805,18.297,724462781
2012-11-23,17.604,17.752,17.462,17.736,313949708
2012-11-21,17.512,17.61,17.274,17.433,429291373
2012-11-20,17.75,17.751,17.211,17.409,739395113
2012-11-19,16.782,17.614,16.756,17.558,946588771
2012-11-16,16.301,16.45,15.696,16.378,1457850439
